Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00      87/87          execute [2]
[66]     0.0    0.00    0.00      87         P31 [66]
-----------------------------------------------
                0.00    0.00      87/87          executeFromVertex [98]
[67]     0.0    0.00    0.00      87         T17 [67]
-----------------------------------------------
                0.00    0.00      47/47          executeFromVertex [98]
[68]     0.0    0.00    0.00      47         A9 [68]
-----------------------------------------------
                0.00    0.00      39/39          execute [2]
[69]     0.0    0.00    0.00      39         P16 [69]
-----------------------------------------------
                0.00    0.00      39/39          execute [2]
[70]     0.0    0.00    0.00      39         P21 [70]
-----------------------------------------------
                0.00    0.00      39/39          execute [2]
[71]     0.0    0.00    0.00      39         P22 [71]
-----------------------------------------------
                0.00    0.00      39/39          execute [2]
[72]     0.0    0.00    0.00      39         P23 [72]
-----------------------------------------------
                0.00    0.00      39/39          execute [2]
[73]     0.0    0.00    0.00      39         P24 [73]
-----------------------------------------------
                0.00    0.00      39/39          executeFromVertex [98]
[74]     0.0    0.00    0.00      39         T13 [74]
-----------------------------------------------
                0.00    0.00      39/39          executeFromVertex [98]
[75]     0.0    0.00    0.00      39         T14 [75]
-----------------------------------------------
                0.00    0.00      39/39          executeFromVertex [98]
[76]     0.0    0.00    0.00      39         T15 [76]
-----------------------------------------------
                0.00    0.00      39/39          executeFromVertex [98]
[77]     0.0    0.00    0.00      39         T8 [77]
-----------------------------------------------
                0.00    0.00      38/38          execute [2]
[78]     0.0    0.00    0.00      38         P46 [78]
-----------------------------------------------
                0.00    0.00      38/38          executeFromVertex [98]
[79]     0.0    0.00    0.00      38         T22 [79]
-----------------------------------------------
                0.00    0.00      28/28          executeFromVertex [98]
[80]     0.0    0.00    0.00      28         A8 [80]
-----------------------------------------------
                0.00    0.00      28/28          execute [2]
[81]     0.0    0.00    0.00      28         P3 [81]
-----------------------------------------------
                0.00    0.00      28/28          executeFromVertex [98]
[82]     0.0    0.00    0.00      28         T1 [82]
-----------------------------------------------
                0.00    0.00      21/21          executeFromVertex [98]
[83]     0.0    0.00    0.00      21         A2 [83]
-----------------------------------------------
                0.00    0.00      14/14          executeFromVertex [98]
[84]     0.0    0.00    0.00      14         A5 [84]
-----------------------------------------------
                0.00    0.00       8/8           execute [2]
[85]     0.0    0.00    0.00       8         P18 [85]
-----------------------------------------------
                0.00    0.00       8/8           execute [2]
[86]     0.0    0.00    0.00       8         P20 [86]
-----------------------------------------------
                0.00    0.00       8/8           executeFromVertex [98]
[87]     0.0    0.00    0.00       8         T10 [87]
-----------------------------------------------
                0.00    0.00       8/8           executeFromVertex [98]
[88]     0.0    0.00    0.00       8         T12 [88]
-----------------------------------------------
                0.00    0.00       8/8           executeFromVertex [98]
[89]     0.0    0.00    0.00       8         T5 [89]
-----------------------------------------------
                0.00    0.00       6/6           executeFromVertex [98]
[90]     0.0    0.00    0.00       6         A13 [90]
-----------------------------------------------
                0.00    0.00       4/4           executeFromVertex [98]
[91]     0.0    0.00    0.00       4         A3 [91]
-----------------------------------------------
                0.00    0.00       2/2           executeFromVertex [98]
[92]     0.0    0.00    0.00       2         A15 [92]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [2877]
[93]     0.0    0.00    0.00       1         main [93]
-----------------------------------------------
                0.00    0.00     246/246         std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>::_M_ready() [135]
